period,regime,precision_pct,production_costs,yield_pct,balance
2020-01,Bull Momentum Surge,94.97,89678.23,22.67,156666.83
2020-02,Low Volatility Accumulation,95.01,91892.45,23.71,184899.09
2020-03,Luxury Market Correction,94.03,98765.30,21.38,215575.89
2020-04,Luxury Market Correction,96.71,99890.55,22.24,247794.32
2020-05,Bull Momentum Surge,95.57,103233.97,21.99,284661.78
2020-06,Low Volatility Accumulation,95.69,108812.23,20.30,321882.75
2020-07,Bull Momentum Surge,94.62,101956.89,20.92,368408.95
2020-08,Bull Momentum Surge,96.92,125544.23,21.10,425133.82
2020-09,Bull Momentum Surge,96.19,130089.77,23.06,498973.01
2020-10,Bull Momentum Surge,97.32,187531.45,3.30,514232.59
2020-11,Low Volatility Accumulation,96.69,198850.23,23.17,632282.80
2020-12,Bull Momentum Surge,95.59,256637.45,21.89,766685.66
2021-01,Low Volatility Accumulation,97.15,248882.34,20.15,915169.23
2021-02,Bull Momentum Surge,95.49,376681.12,21.60,1144054.98
2021-03,Bull Momentum Surge,95.52,389895.45,20.18,1311180.19
2021-04,Range-Bound Consolidation,94.03,475510.78,20.49,1501431.38
2021-05,Bull Momentum Surge,95.28,475535.67,20.24,1808623.65
2021-06,Bull Momentum Surge,96.24,500003.45,23.76,2217999.46
2021-07,Bull Momentum Surge,95.01,620039.89,21.16,2707944.62
2021-08,Low Volatility Accumulation,94.67,759940.34,21.22,3296999.49
2021-09,Low Volatility Accumulation,94.36,827711.78,23.41,4033427.79
2021-10,Low Volatility Accumulation,96.56,86878.45,6.85,929837.78
2021-11,Low Volatility Accumulation,94.69,253920.67,22.17,1134405.24
2021-12,Bull Momentum Surge,94.03,256875.89,20.09,1367046.64
2022-01,Bull Momentum Surge,96.05,355704.45,21.06,1651393.36
2022-02,Bull Momentum Surge,96.35,456203.78,22.53,2466705.51
2022-03,Bull Momentum Surge,97.24,456992.34,23.01,3358448.86
2022-04,Bull Momentum Surge,97.37,556527.89,22.10,443235.53
2022-05,Range-Bound Consolidation,96.90,567533.45,1.35,4492095.70
2022-06,Range-Bound Consolidation,94.83,558042.34,19.50,5474858.81
2022-07,Range-Bound Consolidation,94.63,561876.23,21.61,6739178.87
2022-08,Bull Momentum Surge,95.92,564665.78,22.27,8398867.76
2022-09,Low Volatility Accumulation,95.92,566080.67,19.71,1047208.89
2022-10,Low Volatility Accumulation,97.10,833210.45,21.48,12651130.07
2022-11,Low Volatility Accumulation,95.69,1069598.89,19.74,1522786.63
2022-12,Bull Momentum Surge,97.21,1200456.67,21.42,18794059.91
2023-01,Low Volatility Accumulation,95.63,1522720.34,0.72,18762277.77
2023-02,Bull Momentum Surge,97.41,1492854.45,20.60,22770428.84
2023-03,Bull Momentum Surge,97.44,2240322.78,1.95,23107575.75
2023-04,Range-Bound Consolidation,96.57,2239739.23,14.24,27346320.00
2023-05,Bull Momentum Surge,95.07,2247591.45,14.70,31426147.75
2023-06,Bull Momentum Surge,96.63,2848717.89,14.54,37651474.46
2023-07,Range-Bound Consolidation,94.58,3548440.78,14.72,44272332.26
2023-08,Bull Momentum Surge,94.06,3359325.67,16.13,52587613.13
2023-09,Bull Momentum Surge,97.33,3679467.78,12.95,60236414.14
2023-10,Bull Momentum Surge,94.26,4493181.34,14.37,69811139.95
2023-11,Low Volatility Accumulation,97.28,4637624.67,14.20,79770411.16
2023-12,Bull Momentum Surge,96.99,5760755.78,15.70,92979400.03
2024-01,Low Volatility Accumulation,94.34,6371644.45,-0.16,92917683.33
2024-02,Bull Momentum Surge,95.03,6748535.67,17.99,109271423.31
2024-03,Low Volatility Accumulation,96.32,7304754.89,18.62,128272980.06
2024-04,Range-Bound Consolidation,94.58,8947420.78,18.54,148845897.97
2024-05,Range-Bound Consolidation,95.33,7580391.45,18.42,175488141.17
2024-06,Low Volatility Accumulation,96.18,8200098.23,18.21,206530200.04
2024-07,Low Volatility Accumulation,96.83,8567679.67,17.46,240563199.98
2024-08,Low Volatility Accumulation,97.17,10050007.78,15.65,277186373.32
2024-09,Bull Momentum Surge,95.27,10661992.23,16.28,322685559.90
2024-10,Low Volatility Accumulation,96.50,12905864.45,18.75,381635463.37
2024-11,Bull Momentum Surge,96.70,12315783.34,15.32,438445081.17
2024-12,Bull Momentum Surge,94.71,13809226.67,16.44,509915999.93
2025-01,Low Volatility Accumulation,94.94,16909123.34,18.42,603671544.49
2025-02,Low Volatility Accumulation,95.09,16233244.45,0.27,603126539.97
2025-03,Low Volatility Accumulation,94.50,17685122.30,15.67,696539817.73
2025-04,Precious Metals Volatility,95.93,20531623.40,-3.85,669016688.89
2025-05,Precious Metals Volatility,95.16,17557227.80,-3.61,644970375.35
2025-06,Precious Metals Volatility,95.99,20197678.90,-3.52,622713951.12
2025-07,Luxury Demand Recovery,94.29,22481186.70,14.67,714021484.49
2025-08,Luxury Demand Recovery,96.21,25196304.50,13.98,815558836.67
2025-09,Luxury Demand Recovery,97.34,27493357.80,14.91,936234126.00
2025-10,Luxury Demand Recovery,97.07,27632966.70,16.20,1080303833.40
2025-11,Luxury Demand Recovery,96.32,32351088.90,-41.07,6372953882.00
2025-12,Wedding Season Peak,96.77,31222130.70,-7.00,5923010800.00
